accession,gene,length,moltype,organism,created,title
NM_001611.5,ACP5,1381,rna,Homo sapiens,1999/03/19,"Homo sapiens acid phosphatase 5, tartrate resistant (ACP5), transcript variant 4, mRNA"
NM_001104595.2,SIRAL2,3480,rna,Homo sapiens,2007/09/20,"Homo sapiens SIR2 antiphage like 2 (SIRAL2), transcript variant 1, mRNA"
NM_001348119.1,TRIM16,3358,rna,Homo sapiens,2017/02/08,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 1, mRNA"
NM_001348122.1,TRIM16,2152,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 5, mRNA"
NM_001348125.1,TRIM16,2515,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 7, mRNA"
NM_006470.4,TRIM16,2992,rna,Homo sapiens,1999/07/13,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 3, mRNA"
NM_001348121.1,TRIM16,2142,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 4, mRNA"
NM_001348124.1,TRIM16,2499,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 6, mRNA"
NM_001348126.1,TRIM16,2250,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 8, mRNA"
NM_001348120.1,TRIM16,3110,rna,Homo sapiens,2017/01/11,"Homo sapiens tripartite motif containing 16 (TRIM16), transcript variant 2, mRNA"
NM_001330705.1,ZBTB35,3036,rna,Homo sapiens,2016/09/01,"Homo sapiens zinc finger and BTB domain containing 35 (ZBTB35), transcript variant 4, mRNA"
NM_032899.6,SACK1A,4639,rna,Homo sapiens,2001/05/30,"Homo sapiens scaffolding CK1 anchoring protein A (SACK1A), transcript variant 1, mRNA"
NM_001282563.2,DRD3,1557,rna,Homo sapiens,2013/09/13,"Homo sapiens dopamine receptor D3 (DRD3), transcript variant f, mRNA"
NM_001290809.1,DRD3,1690,rna,Homo sapiens,2014/03/20,"Homo sapiens dopamine receptor D3 (DRD3), transcript variant g, mRNA"
NM_001193280.1,MID1,1659,rna,Homo sapiens,2010/07/17,"Homo sapiens midline 1 (MID1), transcript variant 8, mRNA"
NM_001193279.1,MID1,1773,rna,Homo sapiens,2010/07/17,"Homo sapiens midline 1 (MID1), transcript variant 7, mRNA"
NM_001193278.1,MID1,1926,rna,Homo sapiens,2010/07/17,"Homo sapiens midline 1 (MID1), transcript variant 6, mRNA"
NM_001193277.1,MID1,6252,rna,Homo sapiens,2010/07/17,"Homo sapiens midline 1 (MID1), transcript variant 2, mRNA"
NM_001098624.2,MID1,6393,rna,Homo sapiens,2007/06/14,"Homo sapiens midline 1 (MID1), transcript variant 4, mRNA"
NM_001178077.1,glutamine-hydrolyzing,1709,rna,Homo sapiens,2010/05/13,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 6, mRNA"
NM_133436.3,glutamine-hydrolyzing,2339,rna,Homo sapiens,2002/03/07,"Homo sapiens asparagine synthetase (glutamine-hydrolyzing) (ASNS), transcript variant 1, mRNA"
NM_001139490.1,IFT54,3985,rna,Homo sapiens,2008/11/18,"Homo sapiens intraflagellar transport 54 (IFT54), transcript variant 2, mRNA"
NM_001385036.1,EXD1,3185,rna,Homo sapiens,2020/07/08,"Homo sapiens exonuclease 3'-5' domain containing 1 (EXD1), transcript variant 3, mRNA"
NM_152596.4,EXD1,2999,rna,Homo sapiens,2002/09/06,"Homo sapiens exonuclease 3'-5' domain containing 1 (EXD1), transcript variant 2, mRNA"
NM_001286441.2,EXD1,3254,rna,Homo sapiens,2013/11/05,"Homo sapiens exonuclease 3'-5' domain containing 1 (EXD1), transcript variant 1, mRNA"
NM_017843.5,BCAS4,1211,rna,Homo sapiens,2000/07/04,"Homo sapiens breast carcinoma amplified sequence 4 (BCAS4), transcript variant 1, mRNA"
NM_001305122.3,IQCK,2734,rna,Homo sapiens,2015/02/25,"Homo sapiens IQ motif containing K (IQCK), transcript variant 3, mRNA"
NM_001305121.3,IQCK,2754,rna,Homo sapiens,2015/02/25,"Homo sapiens IQ motif containing K (IQCK), transcript variant 2, mRNA"
NM_001394806.1,IQCK,2741,rna,Homo sapiens,2021/05/06,"Homo sapiens IQ motif containing K (IQCK), transcript variant 8, mRNA"
NM_001394804.1,IQCK,1926,rna,Homo sapiens,2021/05/06,"Homo sapiens IQ motif containing K (IQCK), transcript variant 6, mRNA"
NM_153208.3,IQCK,2819,rna,Homo sapiens,2002/10/01,"Homo sapiens IQ motif containing K (IQCK), transcript variant 1, mRNA"
NM_001394805.1,IQCK,3114,rna,Homo sapiens,2021/05/06,"Homo sapiens IQ motif containing K (IQCK), transcript variant 7, mRNA"
NM_153347.3,TMEM86A,3607,rna,Homo sapiens,2002/10/04,"Homo sapiens transmembrane protein 86A (TMEM86A), mRNA"
NM_001448114.1,BCAS4,5804,rna,Homo sapiens,2026/09/16,"Homo sapiens breast carcinoma amplified sequence 4 (BCAS4), transcript variant 4, mRNA"
NM_001010974.3,BCAS4,979,rna,Homo sapiens,2005/01/28,"Homo sapiens breast carcinoma amplified sequence 4 (BCAS4), transcript variant 3, mRNA"
NM_001446100.1,LCN2,1004,rna,Homo sapiens,2026/03/12,"Homo sapiens lipocalin 2 (LCN2), transcript variant 2, mRNA"
NM_001270584.2,DRC11,3092,rna,Homo sapiens,2012/07/20,"Homo sapiens dynein regulatory complex subunit 11 (DRC11), transcript variant 2, mRNA"
NM_001308164.2,GFM1,6535,rna,Homo sapiens,2015/04/28,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_001270585.2,DRC11,3062,rna,Homo sapiens,2012/07/20,"Homo sapiens dynein regulatory complex subunit 11 (DRC11), transcript variant 3, mRNA"
NM_001308166.2,GFM1,2148,rna,Homo sapiens,2015/04/28,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 3, mRNA; nuclear gene for mitochondrial product"
NM_001385854.1,TBC1D15,2983,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 10, mRNA"
NM_001146214.3,TBC1D15,3249,rna,Homo sapiens,2009/04/03,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 2, mRNA"
NM_001385850.1,TBC1D15,3097,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 6, mRNA"
NM_001146213.3,TBC1D15,3157,rna,Homo sapiens,2009/04/03,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 3, mRNA"
NM_001385848.1,TBC1D15,3151,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 4, mRNA"
NM_001385849.1,TBC1D15,3124,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 5, mRNA"
NM_001385853.1,TBC1D15,3040,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 9, mRNA"
NM_022771.6,TBC1D15,3208,rna,Homo sapiens,2001/01/16,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 1, mRNA"
NM_001385851.1,TBC1D15,3091,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 7, mRNA"
NM_001385852.1,TBC1D15,3082,rna,Homo sapiens,2020/07/29,"Homo sapiens TBC1 domain family member 15 (TBC1D15), transcript variant 8, mRNA"
NM_198799.4,BCAS4,1114,rna,Homo sapiens,2003/12/01,"Homo sapiens breast carcinoma amplified sequence 4 (BCAS4), transcript variant 2, mRNA"
NM_024996.7,GFM1,6478,rna,Homo sapiens,2001/03/18,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 2, mRNA; nuclear gene for mitochondrial product"
NM_001374356.1,GFM1,3352,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 5, mRNA; nuclear gene for mitochondrial product"
NM_001374358.1,GFM1,3010,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 7, mRNA; nuclear gene for mitochondrial product"
NM_001374360.1,GFM1,3077,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 9, mRNA; nuclear gene for mitochondrial product"
NM_001374359.1,GFM1,3131,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 8, mRNA; nuclear gene for mitochondrial product"
NM_001374357.1,GFM1,3635,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 6, mRNA; nuclear gene for mitochondrial product"
NM_001374355.1,GFM1,3388,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 4, mRNA; nuclear gene for mitochondrial product"
NM_001374361.1,GFM1,3014,rna,Homo sapiens,2019/09/23,"Homo sapiens G elongation factor mitochondrial 1 (GFM1), transcript variant 10, mRNA; nuclear gene for mitochondrial product"
NM_001244710.2,GFPT1,8665,rna,Homo sapiens,2011/09/24,"Homo sapiens glutamine--fructose-6-phosphate transaminase 1 (GFPT1), transcript variant 1, mRNA"
NM_152319.4,LYLDT1,904,rna,Homo sapiens,2002/09/06,"Homo sapiens lysosomal-lipid droplet tether 1 (LYLDT1), mRNA"
NM_002056.4,GFPT1,8611,rna,Homo sapiens,1999/03/19,"Homo sapiens glutamine--fructose-6-phosphate transaminase 1 (GFPT1), transcript variant 2, mRNA"
NM_016204.4,GDF2,3309,rna,Homo sapiens,2000/05/03,"Homo sapiens growth differentiation factor 2 (GDF2), mRNA"
NM_005564.5,LCN2,820,rna,Homo sapiens,1999/06/09,"Homo sapiens lipocalin 2 (LCN2), transcript variant 1, mRNA"
NM_207408.3,SPMIP10,478,rna,Homo sapiens,2004/04/20,"Homo sapiens sperm microtubule inner protein 10 (SPMIP10), mRNA"
NM_024726.5,DRC11,3215,rna,Homo sapiens,2001/03/18,"Homo sapiens dynein regulatory complex subunit 11 (DRC11), transcript variant 1, mRNA"
NM_001448089.1,LRRC66,3429,rna,Homo sapiens,2026/09/14,"Homo sapiens leucine rich repeat containing 66 (LRRC66), transcript variant 2, mRNA"
NM_001448090.1,LRRC66,3693,rna,Homo sapiens,2026/09/14,"Homo sapiens leucine rich repeat containing 66 (LRRC66), transcript variant 3, mRNA"
NM_001448091.1,LRRC66,3075,rna,Homo sapiens,2026/09/14,"Homo sapiens leucine rich repeat containing 66 (LRRC66), transcript variant 4, mRNA"
NM_001282208.2,SIGMAR1,1695,rna,Homo sapiens,2013/08/23,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 9, mRNA"
NM_170681.3,GFM2,2166,rna,Homo sapiens,2002/11/25,"Homo sapiens GTP dependent ribosome recycling factor mitochondrial 2 (GFM2), transcript variant 3, mRNA; nuclear gene for mitochondrial product"
NM_001282207.2,SIGMAR1,1612,rna,Homo sapiens,2013/08/23,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 8, mRNA"
NM_001282209.2,SIGMAR1,1532,rna,Homo sapiens,2013/08/23,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 10, mRNA"
NM_001282206.2,SIGMAR1,1625,rna,Homo sapiens,2013/08/23,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 7, mRNA"
NM_147157.3,SIGMAR1,1579,rna,Homo sapiens,2002/08/13,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 2, mRNA"
NM_001281302.2,GFM2,3111,rna,Homo sapiens,2013/07/25,"Homo sapiens GTP dependent ribosome recycling factor mitochondrial 2 (GFM2), transcript variant 4, mRNA; nuclear gene for mitochondrial product"
NM_001282205.2,SIGMAR1,1454,rna,Homo sapiens,2013/08/23,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 6, mRNA"
NM_170691.3,GFM2,2852,rna,Homo sapiens,2002/11/25,"Homo sapiens GTP dependent ribosome recycling factor mitochondrial 2 (GFM2), transcript variant 2, mRNA; nuclear gene for mitochondrial product"
NM_032380.5,GFM2,2993,rna,Homo sapiens,2001/05/19,"Homo sapiens GTP dependent ribosome recycling factor mitochondrial 2 (GFM2), transcript variant 1, mRNA; nuclear gene for mitochondrial product"
NM_005866.4,SIGMAR1,1672,rna,Homo sapiens,1999/06/10,"Homo sapiens sigma receptor chaperone 1 (SIGMAR1), transcript variant 1, mRNA"
NM_001428335.1,TNXB,13838,rna,Homo sapiens,2024/03/08,"Homo sapiens tenascin XB (TNXB), transcript variant 4, mRNA"
NM_001428277.1,PPP2R2B,11223,rna,Homo sapiens,2024/03/06,"Homo sapiens protein phosphatase 2 regulatory subunit Bbeta (PPP2R2B), transcript variant 11, mRNA"
NM_001428279.1,PPP2R2B,10718,rna,Homo sapiens,2024/03/06,"Homo sapiens protein phosphatase 2 regulatory subunit Bbeta (PPP2R2B), transcript variant 12, mRNA"
NM_001114636.2,FANCL,1673,rna,Homo sapiens,2008/02/15,"Homo sapiens FA complementation group L (FANCL), transcript variant 1, mRNA"
NM_002977.4,SCN9A,9719,rna,Homo sapiens,1999/03/19,"Homo sapiens sodium voltage-gated channel alpha subunit 9 (SCN9A), transcript variant 1, mRNA"
NM_001287748.2,FDFT1,1992,rna,Homo sapiens,2013/12/19,"Homo sapiens farnesyl-diphosphate farnesyltransferase 1 (FDFT1), transcript variant 7, mRNA"
NM_001425772.1,POC1B,1407,rna,Homo sapiens,2023/11/27,"Homo sapiens POC1 centriolar protein B (POC1B), transcript variant 6, mRNA"
NM_001425398.1,HSFY1,1297,rna,Homo sapiens,2023/11/15,"Homo sapiens heat shock transcription factor Y-linked 1 (HSFY1), transcript variant 4, mRNA"
NM_001425325.1,AGL,7031,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 7, mRNA"
NM_000644.3,AGL,7234,rna,Homo sapiens,1999/04/01,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 2, mRNA"
NM_000028.3,AGL,7314,rna,Homo sapiens,1999/04/01,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 4, mRNA"
NM_001425324.1,ABCA4,7106,rna,Homo sapiens,2023/11/09,"Homo sapiens ATP binding cassette subfamily A member 4 (ABCA4), transcript variant 2, mRNA"
NM_001425328.1,AGL,6887,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 10, mRNA"
NM_001425332.1,AGL,6713,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 12, mRNA"
NM_001425327.1,AGL,6890,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 9, mRNA"
NM_001425326.1,AGL,7070,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 8, mRNA"
NM_001425329.1,AGL,6752,rna,Homo sapiens,2023/11/09,"Homo sapiens amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase (AGL), transcript variant 11, mRNA"
NM_001425309.1,NARS2,2242,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 14, mRNA"
NM_001425300.1,NARS2,2485,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 5, mRNA"
NM_001425308.1,NARS2,2281,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 13, mRNA"
NM_001425307.1,NARS2,2284,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 12, mRNA"
NM_001425313.1,NARS2,2294,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 18, mRNA"
NM_001425312.1,NARS2,2103,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 17, mRNA"
NM_001425302.1,NARS2,2431,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 7, mRNA"
NM_001425311.1,NARS2,2417,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 16, mRNA"
NM_001425301.1,NARS2,2440,rna,Homo sapiens,2023/11/08,"Homo sapiens asparaginyl-tRNA synthetase 2, mitochondrial (NARS2), transcript variant 6, mRNA"
NM_001425258.1,COQ6,1512,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 6, mRNA; nuclear gene for mitochondrial product"
NM_001425259.1,COQ6,1561,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 7, mRNA; nuclear gene for mitochondrial product"
NM_001425262.1,COQ6,1296,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 10, mRNA; nuclear gene for mitochondrial product"
NM_001425263.1,COQ6,1653,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 11, mRNA; nuclear gene for mitochondrial product"
NM_001425260.1,COQ6,1594,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 8, mRNA; nuclear gene for mitochondrial product"
NM_001425264.1,COQ6,1361,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 12, mRNA; nuclear gene for mitochondrial product"
NM_001425257.1,COQ6,1492,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 5, mRNA; nuclear gene for mitochondrial product"
NM_001425261.1,COQ6,1555,rna,Homo sapiens,2023/11/03,"Homo sapiens coenzyme Q6, monooxygenase (COQ6), transcript variant 9, mRNA; nuclear gene for mitochondrial product"
NM_001425241.1,ALG8,1633,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 25, mRNA"
NM_001425242.1,ALG8,1632,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 26, mRNA"
NM_001425243.1,ALG8,1186,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 27, mRNA"
NM_001425219.1,ALG8,1640,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 3, mRNA"
NM_001425218.1,L2HGDH,5254,rna,Homo sapiens,2023/11/02,"Homo sapiens L-2-hydroxyglutarate dehydrogenase (L2HGDH), transcript variant 8, mRNA; nuclear gene for mitochondrial product"
NM_001425234.1,ALG8,1602,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 18, mRNA"
NM_001425230.1,ALG8,1687,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 14, mRNA"
NM_001425225.1,ALG8,1685,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 9, mRNA"
NM_001425229.1,ALG8,1564,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 13, mRNA"
NM_001425239.1,ALG8,1830,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 23, mRNA"
NM_001425228.1,ALG8,1463,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 12, mRNA"
NM_001425221.1,ALG8,1562,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 5, mRNA"
NM_001425220.1,ALG8,1622,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 4, mRNA"
NM_001425236.1,ALG8,1633,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 20, mRNA"
NM_001425215.1,L2HGDH,6317,rna,Homo sapiens,2023/11/02,"Homo sapiens L-2-hydroxyglutarate dehydrogenase (L2HGDH), transcript variant 5, mRNA; nuclear gene for mitochondrial product"
NM_001425216.1,L2HGDH,5239,rna,Homo sapiens,2023/11/02,"Homo sapiens L-2-hydroxyglutarate dehydrogenase (L2HGDH), transcript variant 6, mRNA; nuclear gene for mitochondrial product"
NM_001425240.1,ALG8,1145,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 24, mRNA"
NM_001425224.1,ALG8,1730,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 8, mRNA"
NM_001425212.1,L2HGDH,5175,rna,Homo sapiens,2023/11/02,"Homo sapiens L-2-hydroxyglutarate dehydrogenase (L2HGDH), transcript variant 2, mRNA; nuclear gene for mitochondrial product"
NM_001425222.1,ALG8,1661,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 6, mRNA"
NM_001425214.1,L2HGDH,6238,rna,Homo sapiens,2023/11/02,"Homo sapiens L-2-hydroxyglutarate dehydrogenase (L2HGDH), transcript variant 4, mRNA; nuclear gene for mitochondrial product"
NM_001425238.1,ALG8,1253,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 22, mRNA"
NM_001425237.1,ALG8,1538,rna,Homo sapiens,2023/11/02,"Homo sapiens ALG8 alpha-1,3-glucosyltransferase (ALG8), transcript variant 21, mRNA"
NM_001425163.1,FOXRED1,1948,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 6, mRNA"
NM_001425175.1,FOXRED1,1853,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 18, mRNA"
NM_001425169.1,FOXRED1,1971,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 12, mRNA"
NM_001425172.1,FOXRED1,1726,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 15, mRNA"
NM_001425170.1,FOXRED1,2168,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 13, mRNA"
NM_001425166.1,FOXRED1,1903,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 9, mRNA"
NM_001425171.1,FOXRED1,1947,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 14, mRNA"
NM_001425174.1,FOXRED1,1856,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 17, mRNA"
NM_001425161.1,FOXRED1,1951,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 5, mRNA"
NM_001425167.1,FOXRED1,1849,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 10, mRNA"
NM_001425165.1,FOXRED1,1945,rna,Homo sapiens,2023/10/30,"Homo sapiens FAD dependent oxidoreductase domain containing 1 (FOXRED1), transcript variant 8, mRNA"
NM_001425156.1,SLC35C1,2936,rna,Homo sapiens,2023/10/28,"Homo sapiens solute carrier family 35 member C1 (SLC35C1), transcript variant 5, mRNA"
NM_001145266.2,SLC35C1,3110,rna,Homo sapiens,2009/02/18,"Homo sapiens solute carrier family 35 member C1 (SLC35C1), transcript variant 3, mRNA"
NM_001425097.1,PHOX2A,1723,rna,Homo sapiens,2023/10/25,"Homo sapiens paired like homeobox 2A (PHOX2A), transcript variant 3, mRNA"
NM_001425070.1,SBF2,7680,rna,Homo sapiens,2023/10/25,"Homo sapiens SET binding factor 2 (SBF2), transcript variant 6, mRNA"
NM_001425096.1,PHOX2A,1783,rna,Homo sapiens,2023/10/25,"Homo sapiens paired like homeobox 2A (PHOX2A), transcript variant 2, mRNA"
NM_001425098.1,PHOX2A,2127,rna,Homo sapiens,2023/10/25,"Homo sapiens paired like homeobox 2A (PHOX2A), transcript variant 4, mRNA"
NM_001425063.1,HMBS,1541,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 14, mRNA"
NM_001425059.1,HMBS,1450,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 11, mRNA"
NM_001425058.1,HMBS,1465,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 10, mRNA"
NM_001425062.1,HMBS,1645,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 13, mRNA"
NM_001425052.1,HMBS,1595,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 5, mRNA"
NM_001425065.1,HMBS,1330,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 15, mRNA"
NM_001425061.1,HMBS,1345,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 12, mRNA"
NM_001425054.1,HMBS,1587,rna,Homo sapiens,2023/10/23,"Homo sapiens hydroxymethylbilane synthase (HMBS), transcript variant 7, mRNA"
NM_001424411.1,NKX2-2,1702,rna,Homo sapiens,2023/09/22,"Homo sapiens NK2 homeobox 2 (NKX2-2), transcript variant 2, mRNA"
NM_001424359.1,DNMT3B,4066,rna,Homo sapiens,2023/09/22,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 17, mRNA"
NM_001424354.1,DNMT3B,4150,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 12, mRNA"
NM_001424355.1,DNMT3B,4147,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 13, mRNA"
NM_001424351.1,DNMT3B,4217,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 9, mRNA"
NM_001424356.1,DNMT3B,4091,rna,Homo sapiens,2023/09/21,"Homo sapiens DNA methyltransferase 3 beta (DNMT3B), transcript variant 14, mRNA"
